"","GROUP","value","concept","variable","siteid","obs_value"
"2645","ARDS_sup_49",226,"elix","Cancer","site_12",11
"2646","NO_SEVERE_18_49",157,"elix","Congestive heart failure","site_12",11
"2647","NO_SEVERE_18_49",642,"elix","Cardiac arrhythmia","site_12",11
"2648","NO_SEVERE_18_49",95,"elix","Valvular disease","site_12",11
"2649","NO_SEVERE_18_49",129,"elix","Pulmonary circulation disorder","site_12",11
"2650","NO_SEVERE_18_49",35,"elix","Peripheral vascular disease","site_12",11
"2651","NO_SEVERE_18_49",920,"elix","Hypertension","site_12",11
"2652","NO_SEVERE_18_49",39,"elix","Paralysis","site_12",11
"2653","NO_SEVERE_18_49",247,"elix","Other neurological disorders","site_12",11
"2654","NO_SEVERE_18_49",378,"elix","Chronic pulmonary disease","site_12",11
"2655","NO_SEVERE_18_49",528,"elix","Diabetes,","site_12",11
"2656","NO_SEVERE_18_49",130,"elix","Hypothyroidism","site_12",11
"2657","NO_SEVERE_18_49",164,"elix","Renal failure","site_12",11
"2658","NO_SEVERE_18_49",350,"elix","Liver disease","site_12",11
"2659","NO_SEVERE_18_49",17,"elix","Peptic ulcer disease","site_12",11
"2660","NO_SEVERE_18_49",37,"elix","AIDS/HIV","site_12",11
"2661","NO_SEVERE_18_49",13,"elix","Lymphoma","site_12",11
"2662","NO_SEVERE_18_49",20,"elix","Metastatic cancer","site_12",11
"2663","NO_SEVERE_18_49",43,"elix","Solid tumor without metastasis","site_12",11
"2664","NO_SEVERE_18_49",88,"elix","Rheumatoid arthritis","site_12",11
"2665","NO_SEVERE_18_49",158,"elix","Coagulopathy","site_12",11
"2666","NO_SEVERE_18_49",983,"elix","Obesity","site_12",11
"2667","NO_SEVERE_18_49",141,"elix","Weight loss","site_12",11
"2668","NO_SEVERE_18_49",801,"elix","Fluid/electrolyte disorders","site_12",11
"2669","NO_SEVERE_18_49",121,"elix","Blood loss anemia","site_12",11
"2670","NO_SEVERE_18_49",150,"elix","Deficiency anemia","site_12",11
"2671","NO_SEVERE_18_49",629,"elix","Alcohol abuse","site_12",11
"2672","NO_SEVERE_18_49",480,"elix","Drug abuse","site_12",11
"2673","NO_SEVERE_18_49",328,"elix","Psychoses","site_12",11
"2674","NO_SEVERE_18_49",1657,"elix","Depression","site_12",11
"2675","NO_SEVERE_18_49",57,"elix","Cancer","site_12",11
"2676","NO_SEVERE_sup_49",10100,"elix","Congestive heart failure","site_12",11
"2677","NO_SEVERE_sup_49",10314,"elix","Cardiac arrhythmia","site_12",11
"2678","NO_SEVERE_sup_49",5709,"elix","Valvular disease","site_12",11
"2679","NO_SEVERE_sup_49",2202,"elix","Pulmonary circulation disorder","site_12",11
"2680","NO_SEVERE_sup_49",3952,"elix","Peripheral vascular disease","site_12",11
"2681","NO_SEVERE_sup_49",18167,"elix","Hypertension","site_12",11
"2682","NO_SEVERE_sup_49",645,"elix","Paralysis","site_12",11
"2683","NO_SEVERE_sup_49",6128,"elix","Other neurological disorders","site_12",11
"2684","NO_SEVERE_sup_49",8414,"elix","Chronic pulmonary disease","site_12",11
"2685","NO_SEVERE_sup_49",11084,"elix","Diabetes,","site_12",11
"2686","NO_SEVERE_sup_49",3026,"elix","Hypothyroidism","site_12",11
"2687","NO_SEVERE_sup_49",7290,"elix","Renal failure","site_12",11
"2688","NO_SEVERE_sup_49",2793,"elix","Liver disease","site_12",11
"2689","NO_SEVERE_sup_49",480,"elix","Peptic ulcer disease","site_12",11
"2690","NO_SEVERE_sup_49",242,"elix","AIDS/HIV","site_12",11
"2691","NO_SEVERE_sup_49",390,"elix","Lymphoma","site_12",11
"2692","NO_SEVERE_sup_49",737,"elix","Metastatic cancer","site_12",11
"2693","NO_SEVERE_sup_49",3269,"elix","Solid tumor without metastasis","site_12",11
"2694","NO_SEVERE_sup_49",1099,"elix","Rheumatoid arthritis","site_12",11
"2695","NO_SEVERE_sup_49",2724,"elix","Coagulopathy","site_12",11
"2696","NO_SEVERE_sup_49",6558,"elix","Obesity","site_12",11
"2697","NO_SEVERE_sup_49",3935,"elix","Weight loss","site_12",11
"2698","NO_SEVERE_sup_49",10859,"elix","Fluid/electrolyte disorders","site_12",11
"2699","NO_SEVERE_sup_49",2993,"elix","Blood loss anemia","site_12",11
"2700","NO_SEVERE_sup_49",3897,"elix","Deficiency anemia","site_12",11
"2701","NO_SEVERE_sup_49",2880,"elix","Alcohol abuse","site_12",11
"2702","NO_SEVERE_sup_49",2024,"elix","Drug abuse","site_12",11
"2703","NO_SEVERE_sup_49",1972,"elix","Psychoses","site_12",11
"2704","NO_SEVERE_sup_49",10631,"elix","Depression","site_12",11
"2705","NO_SEVERE_sup_49",3577,"elix","Cancer","site_12",11
"2706","SEVERE_NO_ARDS_18_49",40,"elix","Congestive heart failure","site_12",11
"2707","SEVERE_NO_ARDS_18_49",110,"elix","Cardiac arrhythmia","site_12",11
"2708","SEVERE_NO_ARDS_18_49",13,"elix","Valvular disease","site_12",11
"2709","SEVERE_NO_ARDS_18_49",17,"elix","Pulmonary circulation disorder","site_12",11
"2710","SEVERE_NO_ARDS_18_49",,"elix","Peripheral vascular disease","site_12",11
"2711","SEVERE_NO_ARDS_18_49",114,"elix","Hypertension","site_12",11
"2712","SEVERE_NO_ARDS_18_49",,"elix","Paralysis","site_12",11
"2713","SEVERE_NO_ARDS_18_49",43,"elix","Other neurological disorders","site_12",11
"2714","SEVERE_NO_ARDS_18_49",76,"elix","Chronic pulmonary disease","site_12",11
"2715","SEVERE_NO_ARDS_18_49",68,"elix","Diabetes,","site_12",11
"2716","SEVERE_NO_ARDS_18_49",14,"elix","Hypothyroidism","site_12",11
"2717","SEVERE_NO_ARDS_18_49",33,"elix","Renal failure","site_12",11
"2718","SEVERE_NO_ARDS_18_49",55,"elix","Liver disease","site_12",11
"2719","SEVERE_NO_ARDS_18_49",,"elix","Peptic ulcer disease","site_12",11
"2720","SEVERE_NO_ARDS_18_49",,"elix","AIDS/HIV","site_12",11
"2721","SEVERE_NO_ARDS_18_49",,"elix","Lymphoma","site_12",11
"2722","SEVERE_NO_ARDS_18_49",,"elix","Metastatic cancer","site_12",11
"2723","SEVERE_NO_ARDS_18_49",,"elix","Solid tumor without metastasis","site_12",11
"2724","SEVERE_NO_ARDS_18_49",,"elix","Rheumatoid arthritis","site_12",11
"2725","SEVERE_NO_ARDS_18_49",39,"elix","Coagulopathy","site_12",11
"2726","SEVERE_NO_ARDS_18_49",116,"elix","Obesity","site_12",11
"2727","SEVERE_NO_ARDS_18_49",20,"elix","Weight loss","site_12",11
"2728","SEVERE_NO_ARDS_18_49",115,"elix","Fluid/electrolyte disorders","site_12",11
"2729","SEVERE_NO_ARDS_18_49",24,"elix","Blood loss anemia","site_12",11
"2730","SEVERE_NO_ARDS_18_49",27,"elix","Deficiency anemia","site_12",11
"2731","SEVERE_NO_ARDS_18_49",54,"elix","Alcohol abuse","site_12",11
"2732","SEVERE_NO_ARDS_18_49",30,"elix","Drug abuse","site_12",11
"2733","SEVERE_NO_ARDS_18_49",25,"elix","Psychoses","site_12",11
"2734","SEVERE_NO_ARDS_18_49",152,"elix","Depression","site_12",11
"2735","SEVERE_NO_ARDS_18_49",,"elix","Cancer","site_12",11
"2736","SEVERE_NO_ARDS_sup_49",2241,"elix","Congestive heart failure","site_12",11
"2737","SEVERE_NO_ARDS_sup_49",2369,"elix","Cardiac arrhythmia","site_12",11
"2738","SEVERE_NO_ARDS_sup_49",1255,"elix","Valvular disease","site_12",11
"2739","SEVERE_NO_ARDS_sup_49",665,"elix","Pulmonary circulation disorder","site_12",11
"2740","SEVERE_NO_ARDS_sup_49",867,"elix","Peripheral vascular disease","site_12",11
"2741","SEVERE_NO_ARDS_sup_49",3389,"elix","Hypertension","site_12",11
"2742","SEVERE_NO_ARDS_sup_49",157,"elix","Paralysis","site_12",11
"2743","SEVERE_NO_ARDS_sup_49",1468,"elix","Other neurological disorders","site_12",11
"2744","SEVERE_NO_ARDS_sup_49",2053,"elix","Chronic pulmonary disease","site_12",11
"2745","SEVERE_NO_ARDS_sup_49",2326,"elix","Diabetes,","site_12",11
"2746","SEVERE_NO_ARDS_sup_49",574,"elix","Hypothyroidism","site_12",11
"2747","SEVERE_NO_ARDS_sup_49",1742,"elix","Renal failure","site_12",11
"2748","SEVERE_NO_ARDS_sup_49",661,"elix","Liver disease","site_12",11
"2749","SEVERE_NO_ARDS_sup_49",144,"elix","Peptic ulcer disease","site_12",11
"2750","SEVERE_NO_ARDS_sup_49",36,"elix","AIDS/HIV","site_12",11
"2751","SEVERE_NO_ARDS_sup_49",90,"elix","Lymphoma","site_12",11
"2752","SEVERE_NO_ARDS_sup_49",115,"elix","Metastatic cancer","site_12",11
"2753","SEVERE_NO_ARDS_sup_49",609,"elix","Solid tumor without metastasis","site_12",11
"2754","SEVERE_NO_ARDS_sup_49",249,"elix","Rheumatoid arthritis","site_12",11
"2755","SEVERE_NO_ARDS_sup_49",880,"elix","Coagulopathy","site_12",11
"2756","SEVERE_NO_ARDS_sup_49",1525,"elix","Obesity","site_12",11
"2757","SEVERE_NO_ARDS_sup_49",873,"elix","Weight loss","site_12",11
"2758","SEVERE_NO_ARDS_sup_49",2729,"elix","Fluid/electrolyte disorders","site_12",11
"2759","SEVERE_NO_ARDS_sup_49",717,"elix","Blood loss anemia","site_12",11
"2760","SEVERE_NO_ARDS_sup_49",903,"elix","Deficiency anemia","site_12",11
"2761","SEVERE_NO_ARDS_sup_49",475,"elix","Alcohol abuse","site_12",11
"2762","SEVERE_NO_ARDS_sup_49",320,"elix","Drug abuse","site_12",11
"2763","SEVERE_NO_ARDS_sup_49",286,"elix","Psychoses","site_12",11
"2764","SEVERE_NO_ARDS_sup_49",2027,"elix","Depression","site_12",11
"2765","SEVERE_NO_ARDS_sup_49",683,"elix","Cancer","site_12",11
"2766","ARDS_18_49",81,"complication_class","Acute kidney failure","site_01",3
"2767","ARDS_sup_49",791,"complication_class","Acute kidney failure","site_01",3
"2768","NO_SEVERE_18_49",84,"complication_class","Acute kidney failure","site_01",3
"2769","NO_SEVERE_sup_49",776,"complication_class","Acute kidney failure","site_01",3
"2770","SEVERE_NO_ARDS_18_49",9,"complication_class","Acute kidney failure","site_01",3
"2771","SEVERE_NO_ARDS_sup_49",164,"complication_class","Acute kidney failure","site_01",3
"2772","ARDS_18_49",,"complication_class","Arterial embolism and thrombosis","site_01",3
"2773","ARDS_sup_49",31,"complication_class","Arterial embolism and thrombosis","site_01",3
"2774","NO_SEVERE_18_49",3,"complication_class","Arterial embolism and thrombosis","site_01",3
"2775","NO_SEVERE_sup_49",76,"complication_class","Arterial embolism and thrombosis","site_01",3
"2776","SEVERE_NO_ARDS_sup_49",15,"complication_class","Arterial embolism and thrombosis","site_01",3
"2777","ARDS_18_49",23,"complication_class","Cardiac arrest","site_01",3
"2778","ARDS_sup_49",118,"complication_class","Cardiac arrest","site_01",3
"2779","NO_SEVERE_18_49",9,"complication_class","Cardiac arrest","site_01",3
"2780","NO_SEVERE_sup_49",78,"complication_class","Cardiac arrest","site_01",3
"2781","SEVERE_NO_ARDS_18_49",4,"complication_class","Cardiac arrest","site_01",3
"2782","SEVERE_NO_ARDS_sup_49",59,"complication_class","Cardiac arrest","site_01",3
"2783","ARDS_18_49",34,"complication_class","Cardiac complication","site_01",3
"2784","ARDS_sup_49",383,"complication_class","Cardiac complication","site_01",3
"2785","NO_SEVERE_18_49",93,"complication_class","Cardiac complication","site_01",3
"2786","NO_SEVERE_sup_49",1276,"complication_class","Cardiac complication","site_01",3
"2787","SEVERE_NO_ARDS_18_49",10,"complication_class","Cardiac complication","site_01",3
"2788","SEVERE_NO_ARDS_sup_49",297,"complication_class","Cardiac complication","site_01",3
"2789","ARDS_18_49",39,"complication_class","Cardiac: Rhythm/conduction disorder","site_01",3
"2790","ARDS_sup_49",531,"complication_class","Cardiac: Rhythm/conduction disorder","site_01",3
"2791","NO_SEVERE_18_49",52,"complication_class","Cardiac: Rhythm/conduction disorder","site_01",3
"2792","NO_SEVERE_sup_49",1667,"complication_class","Cardiac: Rhythm/conduction disorder","site_01",3
"2793","SEVERE_NO_ARDS_18_49",9,"complication_class","Cardiac: Rhythm/conduction disorder","site_01",3
"2794","SEVERE_NO_ARDS_sup_49",380,"complication_class","Cardiac: Rhythm/conduction disorder","site_01",3
"2795","ARDS_18_49",43,"complication_class","Digestive complications","site_01",3
"2796","ARDS_sup_49",323,"complication_class","Digestive complications","site_01",3
"2797","NO_SEVERE_18_49",199,"complication_class","Digestive complications","site_01",3
"2798","NO_SEVERE_sup_49",1117,"complication_class","Digestive complications","site_01",3
"2799","SEVERE_NO_ARDS_18_49",14,"complication_class","Digestive complications","site_01",3
"2800","SEVERE_NO_ARDS_sup_49",248,"complication_class","Digestive complications","site_01",3
"2801","ARDS_18_49",79,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_01",3
"2802","ARDS_sup_49",556,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_01",3
"2803","NO_SEVERE_18_49",154,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_01",3
"2804","NO_SEVERE_sup_49",1415,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_01",3
"2805","SEVERE_NO_ARDS_18_49",15,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_01",3
"2806","SEVERE_NO_ARDS_sup_49",295,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_01",3
"2807","ARDS_18_49",58,"complication_class","Haematological disorders","site_01",3
"2808","ARDS_sup_49",356,"complication_class","Haematological disorders","site_01",3
"2809","NO_SEVERE_18_49",158,"complication_class","Haematological disorders","site_01",3
"2810","NO_SEVERE_sup_49",860,"complication_class","Haematological disorders","site_01",3
"2811","SEVERE_NO_ARDS_18_49",6,"complication_class","Haematological disorders","site_01",3
"2812","SEVERE_NO_ARDS_sup_49",156,"complication_class","Haematological disorders","site_01",3
"2813","ARDS_18_49",28,"complication_class","Hemodynamic disorders","site_01",3
"2814","ARDS_sup_49",205,"complication_class","Hemodynamic disorders","site_01",3
"2815","NO_SEVERE_18_49",53,"complication_class","Hemodynamic disorders","site_01",3
"2816","NO_SEVERE_sup_49",940,"complication_class","Hemodynamic disorders","site_01",3
"2817","SEVERE_NO_ARDS_18_49",,"complication_class","Hemodynamic disorders","site_01",3
"2818","SEVERE_NO_ARDS_sup_49",242,"complication_class","Hemodynamic disorders","site_01",3
"2819","ARDS_18_49",7,"complication_class","Inf: Aspergillosis","site_01",3
"2820","ARDS_sup_49",65,"complication_class","Inf: Aspergillosis","site_01",3
"2821","NO_SEVERE_18_49",5,"complication_class","Inf: Aspergillosis","site_01",3
"2822","NO_SEVERE_sup_49",37,"complication_class","Inf: Aspergillosis","site_01",3
"2823","SEVERE_NO_ARDS_18_49",,"complication_class","Inf: Aspergillosis","site_01",3
"2824","SEVERE_NO_ARDS_sup_49",14,"complication_class","Inf: Aspergillosis","site_01",3
"2825","ARDS_18_49",138,"complication_class","Inf: Bacterial infection","site_01",3
"2826","ARDS_sup_49",796,"complication_class","Inf: Bacterial infection","site_01",3
"2827","NO_SEVERE_18_49",154,"complication_class","Inf: Bacterial infection","site_01",3
"2828","NO_SEVERE_sup_49",1160,"complication_class","Inf: Bacterial infection","site_01",3
"2829","SEVERE_NO_ARDS_18_49",19,"complication_class","Inf: Bacterial infection","site_01",3
"2830","SEVERE_NO_ARDS_sup_49",240,"complication_class","Inf: Bacterial infection","site_01",3
"2831","ARDS_18_49",10,"complication_class","Inf: Bacterial intestinal infections","site_01",3
"2832","ARDS_sup_49",65,"complication_class","Inf: Bacterial intestinal infections","site_01",3
"2833","NO_SEVERE_18_49",37,"complication_class","Inf: Bacterial intestinal infections","site_01",3
"2834","NO_SEVERE_sup_49",296,"complication_class","Inf: Bacterial intestinal infections","site_01",3
"2835","SEVERE_NO_ARDS_18_49",3,"complication_class","Inf: Bacterial intestinal infections","site_01",3
"2836","SEVERE_NO_ARDS_sup_49",41,"complication_class","Inf: Bacterial intestinal infections","site_01",3
"2837","ARDS_18_49",10,"complication_class","Inf: Candidiasis","site_01",3
"2838","ARDS_sup_49",69,"complication_class","Inf: Candidiasis","site_01",3
"2839","NO_SEVERE_18_49",19,"complication_class","Inf: Candidiasis","site_01",3
"2840","NO_SEVERE_sup_49",250,"complication_class","Inf: Candidiasis","site_01",3
"2841","SEVERE_NO_ARDS_18_49",,"complication_class","Inf: Candidiasis","site_01",3
"2842","SEVERE_NO_ARDS_sup_49",57,"complication_class","Inf: Candidiasis","site_01",3
"2843","ARDS_18_49",,"complication_class","Inf: Others fungal infection","site_01",3
"2844","ARDS_sup_49",25,"complication_class","Inf: Others fungal infection","site_01",3
"2845","NO_SEVERE_18_49",,"complication_class","Inf: Others fungal infection","site_01",3
"2846","NO_SEVERE_sup_49",109,"complication_class","Inf: Others fungal infection","site_01",3
"2847","SEVERE_NO_ARDS_sup_49",27,"complication_class","Inf: Others fungal infection","site_01",3
"2848","ARDS_18_49",11,"complication_class","Inf: Pneumonia due to Streptococcus pneumoniae","site_01",3
"2849","ARDS_sup_49",49,"complication_class","Inf: Pneumonia due to Streptococcus pneumoniae","site_01",3
"2850","NO_SEVERE_18_49",4,"complication_class","Inf: Pneumonia due to Streptococcus pneumoniae","site_01",3
"2851","NO_SEVERE_sup_49",32,"complication_class","Inf: Pneumonia due to Streptococcus pneumoniae","site_01",3
"2852","ARDS_18_49",165,"complication_class","Inf: Respiratory bacterial superinfection","site_01",3
"2853","ARDS_sup_49",1025,"complication_class","Inf: Respiratory bacterial superinfection","site_01",3
"2854","NO_SEVERE_18_49",148,"complication_class","Inf: Respiratory bacterial superinfection","site_01",3
"2855","NO_SEVERE_sup_49",851,"complication_class","Inf: Respiratory bacterial superinfection","site_01",3
"2856","SEVERE_NO_ARDS_18_49",7,"complication_class","Inf: Respiratory bacterial superinfection","site_01",3
"2857","SEVERE_NO_ARDS_sup_49",206,"complication_class","Inf: Respiratory bacterial superinfection","site_01",3
"2858","ARDS_18_49",25,"complication_class","Inf: Streptococcal sepsis","site_01",3
"2859","ARDS_sup_49",98,"complication_class","Inf: Streptococcal sepsis","site_01",3
"2860","NO_SEVERE_18_49",10,"complication_class","Inf: Streptococcal sepsis","site_01",3
"2861","NO_SEVERE_sup_49",58,"complication_class","Inf: Streptococcal sepsis","site_01",3
"2862","SEVERE_NO_ARDS_18_49",,"complication_class","Inf: Streptococcal sepsis","site_01",3
"2863","SEVERE_NO_ARDS_sup_49",19,"complication_class","Inf: Streptococcal sepsis","site_01",3
"2864","ARDS_18_49",11,"complication_class","Inf: Viral reactivation","site_01",3
"2865","ARDS_sup_49",72,"complication_class","Inf: Viral reactivation","site_01",3
"2866","NO_SEVERE_18_49",21,"complication_class","Inf: Viral reactivation","site_01",3
"2867","NO_SEVERE_sup_49",51,"complication_class","Inf: Viral reactivation","site_01",3
"2868","SEVERE_NO_ARDS_18_49",,"complication_class","Inf: Viral reactivation","site_01",3
"2869","SEVERE_NO_ARDS_sup_49",8,"complication_class","Inf: Viral reactivation","site_01",3
"2870","ARDS_18_49",20,"complication_class","Pressure ulcer","site_01",3
"2871","ARDS_sup_49",135,"complication_class","Pressure ulcer","site_01",3
"2872","NO_SEVERE_18_49",4,"complication_class","Pressure ulcer","site_01",3
"2873","NO_SEVERE_sup_49",382,"complication_class","Pressure ulcer","site_01",3
"2874","SEVERE_NO_ARDS_18_49",6,"complication_class","Pressure ulcer","site_01",3
"2875","SEVERE_NO_ARDS_sup_49",132,"complication_class","Pressure ulcer","site_01",3
"2876","ARDS_18_49",38,"complication_class","Pulmonary embolism","site_01",3
"2877","ARDS_sup_49",250,"complication_class","Pulmonary embolism","site_01",3
"2878","NO_SEVERE_18_49",70,"complication_class","Pulmonary embolism","site_01",3
"2879","NO_SEVERE_sup_49",437,"complication_class","Pulmonary embolism","site_01",3
"2880","SEVERE_NO_ARDS_18_49",,"complication_class","Pulmonary embolism","site_01",3
"2881","SEVERE_NO_ARDS_sup_49",77,"complication_class","Pulmonary embolism","site_01",3
"2882","ARDS_18_49",280,"complication_class","Respiratory complication ( excluding ARDS)","site_01",3
"2883","ARDS_sup_49",1762,"complication_class","Respiratory complication ( excluding ARDS)","site_01",3
"2884","NO_SEVERE_18_49",517,"complication_class","Respiratory complication ( excluding ARDS)","site_01",3
"2885","NO_SEVERE_sup_49",3377,"complication_class","Respiratory complication ( excluding ARDS)","site_01",3
"2886","SEVERE_NO_ARDS_18_49",28,"complication_class","Respiratory complication ( excluding ARDS)","site_01",3
"2887","SEVERE_NO_ARDS_sup_49",710,"complication_class","Respiratory complication ( excluding ARDS)","site_01",3
"2888","ARDS_sup_49",69,"complication_class","Stroke","site_01",3
"2889","NO_SEVERE_18_49",17,"complication_class","Stroke","site_01",3
"2890","NO_SEVERE_sup_49",342,"complication_class","Stroke","site_01",3
"2891","SEVERE_NO_ARDS_18_49",,"complication_class","Stroke","site_01",3
"2892","SEVERE_NO_ARDS_sup_49",43,"complication_class","Stroke","site_01",3
"2893","ARDS_18_49",44,"complication_class","Vascu : Phlebitis and thrombophlebitis","site_01",3
"2894","ARDS_sup_49",134,"complication_class","Vascu : Phlebitis and thrombophlebitis","site_01",3
"2895","NO_SEVERE_18_49",35,"complication_class","Vascu : Phlebitis and thrombophlebitis","site_01",3
"2896","NO_SEVERE_sup_49",180,"complication_class","Vascu : Phlebitis and thrombophlebitis","site_01",3
"2897","SEVERE_NO_ARDS_18_49",8,"complication_class","Vascu : Phlebitis and thrombophlebitis","site_01",3
"2898","SEVERE_NO_ARDS_sup_49",36,"complication_class","Vascu : Phlebitis and thrombophlebitis","site_01",3
"2899","ARDS_18_49",16,"complication_class","Acute kidney failure","site_02",10
"2900","ARDS_sup_49",80,"complication_class","Acute kidney failure","site_02",10
"2901","NO_SEVERE_18_49",21,"complication_class","Acute kidney failure","site_02",10
"2902","NO_SEVERE_sup_49",281,"complication_class","Acute kidney failure","site_02",10
"2903","SEVERE_NO_ARDS_18_49",11,"complication_class","Acute kidney failure","site_02",10
"2904","SEVERE_NO_ARDS_sup_49",79,"complication_class","Acute kidney failure","site_02",10
"2905","NO_SEVERE_18_49",,"complication_class","Arterial embolism and thrombosis","site_02",10
"2906","NO_SEVERE_sup_49",,"complication_class","Arterial embolism and thrombosis","site_02",10
"2907","ARDS_sup_49",,"complication_class","Cardiac arrest","site_02",10
"2908","SEVERE_NO_ARDS_18_49",,"complication_class","Cardiac arrest","site_02",10
"2909","SEVERE_NO_ARDS_sup_49",13,"complication_class","Cardiac arrest","site_02",10
"2910","ARDS_18_49",,"complication_class","Cardiac complication","site_02",10
"2911","ARDS_sup_49",35,"complication_class","Cardiac complication","site_02",10
"2912","NO_SEVERE_18_49",13,"complication_class","Cardiac complication","site_02",10
"2913","NO_SEVERE_sup_49",238,"complication_class","Cardiac complication","site_02",10
"2914","SEVERE_NO_ARDS_18_49",,"complication_class","Cardiac complication","site_02",10
"2915","SEVERE_NO_ARDS_sup_49",54,"complication_class","Cardiac complication","site_02",10
"2916","ARDS_18_49",,"complication_class","Cardiac: Rhythm/conduction disorder","site_02",10
"2917","ARDS_sup_49",43,"complication_class","Cardiac: Rhythm/conduction disorder","site_02",10
"2918","NO_SEVERE_18_49",,"complication_class","Cardiac: Rhythm/conduction disorder","site_02",10
"2919","NO_SEVERE_sup_49",232,"complication_class","Cardiac: Rhythm/conduction disorder","site_02",10
"2920","SEVERE_NO_ARDS_18_49",,"complication_class","Cardiac: Rhythm/conduction disorder","site_02",10
"2921","SEVERE_NO_ARDS_sup_49",69,"complication_class","Cardiac: Rhythm/conduction disorder","site_02",10
"2922","ARDS_18_49",,"complication_class","Digestive complications","site_02",10
"2923","ARDS_sup_49",61,"complication_class","Digestive complications","site_02",10
"2924","NO_SEVERE_18_49",57,"complication_class","Digestive complications","site_02",10
"2925","NO_SEVERE_sup_49",310,"complication_class","Digestive complications","site_02",10
"2926","SEVERE_NO_ARDS_18_49",,"complication_class","Digestive complications","site_02",10
"2927","SEVERE_NO_ARDS_sup_49",58,"complication_class","Digestive complications","site_02",10
"2928","ARDS_18_49",21,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_02",10
"2929","ARDS_sup_49",91,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_02",10
"2930","NO_SEVERE_18_49",48,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_02",10
"2931","NO_SEVERE_sup_49",310,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_02",10
"2932","SEVERE_NO_ARDS_18_49",18,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_02",10
"2933","SEVERE_NO_ARDS_sup_49",95,"complication_class","Disorders of fluid, electrolyte and acid-base balance","site_02",10
"2934","ARDS_18_49",15,"complication_class","Haematological disorders","site_02",10
"2935","ARDS_sup_49",69,"complication_class","Haematological disorders","site_02",10
"2936","NO_SEVERE_18_49",52,"complication_class","Haematological disorders","site_02",10
"2937","NO_SEVERE_sup_49",218,"complication_class","Haematological disorders","site_02",10
"2938","SEVERE_NO_ARDS_18_49",13,"complication_class","Haematological disorders","site_02",10
"2939","SEVERE_NO_ARDS_sup_49",82,"complication_class","Haematological disorders","site_02",10
"2940","ARDS_18_49",12,"complication_class","Hemodynamic disorders","site_02",10
"2941","ARDS_sup_49",35,"complication_class","Hemodynamic disorders","site_02",10
"2942","NO_SEVERE_18_49",31,"complication_class","Hemodynamic disorders","site_02",10
"2943","NO_SEVERE_sup_49",205,"complication_class","Hemodynamic disorders","site_02",10
"2944","SEVERE_NO_ARDS_18_49",,"complication_class","Hemodynamic disorders","site_02",10
"2945","SEVERE_NO_ARDS_sup_49",41,"complication_class","Hemodynamic disorders","site_02",10
"2946","ARDS_sup_49",,"complication_class","Inf: Aspergillosis","site_02",10
"2947","NO_SEVERE_sup_49",,"complication_class","Inf: Aspergillosis","site_02",10
"2948","ARDS_18_49",17,"complication_class","Inf: Bacterial infection","site_02",10
"2949","ARDS_sup_49",85,"complication_class","Inf: Bacterial infection","site_02",10
"2950","NO_SEVERE_18_49",26,"complication_class","Inf: Bacterial infection","site_02",10
"2951","NO_SEVERE_sup_49",143,"complication_class","Inf: Bacterial infection","site_02",10
"2952","SEVERE_NO_ARDS_18_49",11,"complication_class","Inf: Bacterial infection","site_02",10
"2953","SEVERE_NO_ARDS_sup_49",75,"complication_class","Inf: Bacterial infection","site_02",10
"2954","ARDS_sup_49",,"complication_class","Inf: Bacterial intestinal infections","site_02",10
"2955","NO_SEVERE_18_49",,"complication_class","Inf: Bacterial intestinal infections","site_02",10
"2956","NO_SEVERE_sup_49",14,"complication_class","Inf: Bacterial intestinal infections","site_02",10
"2957","SEVERE_NO_ARDS_sup_49",,"complication_class","Inf: Bacterial intestinal infections","site_02",10
"2958","ARDS_18_49",,"complication_class","Inf: Candidiasis","site_02",10
"2959","ARDS_sup_49",11,"complication_class","Inf: Candidiasis","site_02",10
"2960","NO_SEVERE_18_49",,"complication_class","Inf: Candidiasis","site_02",10
"2961","NO_SEVERE_sup_49",22,"complication_class","Inf: Candidiasis","site_02",10
"2962","SEVERE_NO_ARDS_18_49",,"complication_class","Inf: Candidiasis","site_02",10
"2963","SEVERE_NO_ARDS_sup_49",,"complication_class","Inf: Candidiasis","site_02",10
"2964","ARDS_sup_49",,"complication_class","Inf: Others fungal infection","site_02",10
"2965","NO_SEVERE_18_49",,"complication_class","Inf: Others fungal infection","site_02",10
"2966","NO_SEVERE_sup_49",,"complication_class","Inf: Others fungal infection","site_02",10
"2967","SEVERE_NO_ARDS_sup_49",,"complication_class","Inf: Others fungal infection","site_02",10
"2968","ARDS_18_49",,"complication_class","Inf: Pneumonia due to Streptococcus pneumoniae","site_02",10
